compound_id,source,smiles,seed,best_affinity_kcal_mol
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2000,-8.991
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2001,-8.956
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2002,-8.886
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2000,-9.774
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2001,-9.783
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2002,-9.796
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2000,-8.56
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2001,-8.564
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2002,-8.563
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2000,-7.943
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2001,-7.947
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2002,-7.963
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2000,-9.386
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2001,-9.398
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2002,-9.371
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.658
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.648
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.629
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.668
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.672
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.668
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-9.453
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-9.468
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-9.462
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-9.32
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-9.344
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-9.324
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.294
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.303
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.295
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.759
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.763
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.799
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.535
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.541
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.528
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.584
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-8.493
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-8.571
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.474
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2001,-8.534
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2002,-8.518
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.64
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.71
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.726
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-7.915
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-7.907
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-7.896
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.343
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-8.341
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-8.321
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.572
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.589
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.594
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2000,-8.521
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2001,-8.503
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2002,-8.504
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.744
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.719
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.735
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-7.962
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-7.958
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-7.944
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.692
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.695
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.683
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.285
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.287
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.299
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.721
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.757
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.704
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-9.247
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-9.286
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-9.23
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.225
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.217
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.357
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.185
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-8.197
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-8.166
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-9.058
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-9.097
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-9.096
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.371
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-8.317
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-8.348
