compound_id,source,smiles,affinity_mean,affinity_std,affinity_best
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,-9.784333333333333,0.011060440015358147,-9.796
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-9.461,0.007549834435271006,-9.468
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,-9.385,0.013527749258468277,-9.398
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-9.329333333333333,0.012858201014656732,-9.344
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-9.254333333333333,0.028711205710197966,-9.286
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-9.055,0.16628890522220674,-9.153
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-9.083666666666666,0.022233608194202278,-9.097
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,-8.944333333333333,0.053463383107818355,-8.991
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.963666666666667,0.02103172207246304,-8.984
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.942,0.0026457513110651385,-8.944
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.868,0.06165225056719415,-8.932
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.794666666666666,0.03362043029667132,-8.817
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-8.773666666666665,0.02203028218914483,-8.799
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.727333333333334,0.027061657993059356,-8.757
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.732666666666667,0.012662279942148903,-8.744
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,-8.720333333333334,0.012741009902409851,-8.735
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.692,0.04573838650411742,-8.726
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.677,0.03567912554982162,-8.718
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,-8.69,0.006244997998398386,-8.695
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-8.669333333333332,0.002309401076759146,-8.672
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-8.645,0.014730919862655819,-8.658
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,-8.584999999999999,0.011532562594670257,-8.594
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,-8.549333333333333,0.04921720566360168,-8.584
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,-8.562333333333333,0.0020816659994653346,-8.564
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-8.534666666666666,0.0065064070986474275,-8.541
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,-8.508666666666668,0.03106981386061576,-8.534
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,-8.061333333333332,0.40339104270339565,-8.527
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,-8.509333333333332,0.010115993936996337,-8.521
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,-8.370333333333333,0.011150485789118016,-8.383
