smiles,source
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,seed
C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,seed
C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,seed
CC(C)S(=O)(=O)c1ccc(-c2cc(-c3c(N(C)C)cccc3N(C)C)c3cnn(C4=NN=CC4)c3n2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cc(-c3c(N(C)C)cccc3N(C)C)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cc(-c3c(N(C)C)cccc3N3CCOC[C@H]3C)c3cnn(C4=NN=CC4)c3n2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cc(-c3c(N(C)C)cccc3N3CCOC[C@H]3C)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N(C)C)c2-c2cc(N(C)C)c3cnn(C4=NN=CC4)c3n2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N(C)C)c2-c2cc(N(C)C)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N(C)C)c2-c2cc(N3CCOC[C@H]3C)c3cnn(C4=NN=CC4)c3n2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N(C)C)c2-c2cc(N3CCOC[C@H]3C)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N3CCOC[C@H]3C)c2-c2cc(N(C)C)c3cnn(C4=NN=CC4)c3n2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(-c2cccc(N3CCOC[C@H]3C)c2-c2cc(N(C)C)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(CNc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,derivative
CC(C)S(=O)(=O)c1ccc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,derivative
CN(C)Cc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CN(C)Cc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CN(C)Cc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,derivative
CN(C)Cc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,derivative
CN(C)Cc1cc(-c2cc(N(C)C)c3cnn(C4=NN=CC4)c3n2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)Cc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CN(C)Cc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CN(C)Cc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)no1,derivative
CN(C)Cc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)on1,derivative
CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)Cc1ccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cc1,derivative
CN(C)Cc1ccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,derivative
